length,unique_words,type_token_ratio,Flesch_Reading_ease_score,average_syllables_per_word,average_sentence_length,percentage_monosyllabic_words,percentage_polysyllabic_words,correct
(910.4 - 969.0],(426.0 - 458.0],(0.46 - 0.484],(56.068 - 62.054],(1.498 - 1.662],(20.2 - 22.9],(0.619 - 0.693],(0.119 - 0.164],True
(849.0 - 910.4],(407.6 - 426.0],(0.484 - 0.507],(56.068 - 62.054],(1.424 - 1.455],(22.9 - 26.954],(0.718 - 0.743],(0.092 - 0.105],True
(849.0 - 910.4],(458.0 - 964.0],(0.507 - 0.602],(27.46 - 56.068],(1.455 - 1.498],(22.9 - 26.954],(0.693 - 0.718],(0.105 - 0.119],True
(795.8 - 849.0],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.38 - 1.424],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(910.4 - 969.0],(426.0 - 458.0],(0.484 - 0.507],(56.068 - 62.054],(1.38 - 1.424],(26.954 - 50.125],(0.693 - 0.718],(0.079 - 0.092],True
(910.4 - 969.0],(426.0 - 458.0],(0.442 - 0.46],(62.054 - 67.28],(1.38 - 1.424],(22.9 - 26.954],(0.693 - 0.718],(0.092 - 0.105],True
(910.4 - 969.0],(239.0 - 376.0],(0.311 - 0.442],(56.068 - 62.054],(1.424 - 1.455],(26.954 - 50.125],(0.718 - 0.743],(0.092 - 0.105],True
(754.0 - 795.8],(376.0 - 407.6],(0.484 - 0.507],(67.28 - 72.914],(1.38 - 1.424],(10.784 - 17.062],(0.718 - 0.743],(0.079 - 0.092],True
(910.4 - 969.0],(426.0 - 458.0],(0.46 - 0.484],(62.054 - 67.28],(1.455 - 1.498],(20.2 - 22.9],(0.718 - 0.743],(0.105 - 0.119],True
(795.8 - 849.0],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(407.6 - 426.0],(0.311 - 0.442],(56.068 - 62.054],(1.38 - 1.424],(26.954 - 50.125],(0.743 - 0.771],(0.079 - 0.092],True
(754.0 - 795.8],(407.6 - 426.0],(0.507 - 0.602],(56.068 - 62.054],(1.498 - 1.662],(20.2 - 22.9],(0.619 - 0.693],(0.119 - 0.164],True
(910.4 - 969.0],(458.0 - 964.0],(0.507 - 0.602],(56.068 - 62.054],(1.498 - 1.662],(17.062 - 20.2],(0.619 - 0.693],(0.105 - 0.119],True
(969.0 - 2271.0],(376.0 - 407.6],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.743 - 0.771],(0.026 - 0.079],True
(969.0 - 2271.0],(426.0 - 458.0],(0.311 - 0.442],(62.054 - 67.28],(1.455 - 1.498],(22.9 - 26.954],(0.693 - 0.718],(0.105 - 0.119],True
(969.0 - 2271.0],(458.0 - 964.0],(0.484 - 0.507],(27.46 - 56.068],(1.498 - 1.662],(22.9 - 26.954],(0.619 - 0.693],(0.119 - 0.164],True
(795.8 - 849.0],(426.0 - 458.0],(0.507 - 0.602],(72.914 - 85.59],(1.424 - 1.455],(10.784 - 17.062],(0.693 - 0.718],(0.092 - 0.105],True
(910.4 - 969.0],(407.6 - 426.0],(0.442 - 0.46],(67.28 - 72.914],(1.424 - 1.455],(17.062 - 20.2],(0.743 - 0.771],(0.092 - 0.105],True
(910.4 - 969.0],(426.0 - 458.0],(0.442 - 0.46],(56.068 - 62.054],(1.38 - 1.424],(26.954 - 50.125],(0.718 - 0.743],(0.119 - 0.164],True
(754.0 - 795.8],(426.0 - 458.0],(0.507 - 0.602],(56.068 - 62.054],(1.498 - 1.662],(20.2 - 22.9],(0.693 - 0.718],(0.092 - 0.105],True
(969.0 - 2271.0],(407.6 - 426.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(754.0 - 795.8],(239.0 - 376.0],(0.46 - 0.484],(27.46 - 56.068],(1.455 - 1.498],(26.954 - 50.125],(0.619 - 0.693],(0.105 - 0.119],True
(969.0 - 2271.0],(458.0 - 964.0],(0.46 - 0.484],(62.054 - 67.28],(1.38 - 1.424],(20.2 - 22.9],(0.718 - 0.743],(0.092 - 0.105],True
(795.8 - 849.0],(426.0 - 458.0],(0.507 - 0.602],(27.46 - 56.068],(1.498 - 1.662],(22.9 - 26.954],(0.619 - 0.693],(0.119 - 0.164],True
(969.0 - 2271.0],(426.0 - 458.0],(0.442 - 0.46],(27.46 - 56.068],(1.455 - 1.498],(22.9 - 26.954],(0.619 - 0.693],(0.105 - 0.119],True
(754.0 - 795.8],(426.0 - 458.0],(0.507 - 0.602],(27.46 - 56.068],(1.455 - 1.498],(26.954 - 50.125],(0.693 - 0.718],(0.105 - 0.119],True
(849.0 - 910.4],(407.6 - 426.0],(0.46 - 0.484],(62.054 - 67.28],(1.255 - 1.38],(20.2 - 22.9],(0.743 - 0.771],(0.079 - 0.092],True
(969.0 - 2271.0],(458.0 - 964.0],(0.507 - 0.602],(56.068 - 62.054],(1.498 - 1.662],(20.2 - 22.9],(0.619 - 0.693],(0.119 - 0.164],True
(849.0 - 910.4],(376.0 - 407.6],(0.442 - 0.46],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(426.0 - 458.0],(0.442 - 0.46],(27.46 - 56.068],(1.498 - 1.662],(26.954 - 50.125],(0.693 - 0.718],(0.119 - 0.164],True
(795.8 - 849.0],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(17.062 - 20.2],(0.771 - 0.859],(0.079 - 0.092],True
(849.0 - 910.4],(407.6 - 426.0],(0.46 - 0.484],(27.46 - 56.068],(1.498 - 1.662],(26.954 - 50.125],(0.619 - 0.693],(0.119 - 0.164],True
(969.0 - 2271.0],(458.0 - 964.0],(0.46 - 0.484],(56.068 - 62.054],(1.498 - 1.662],(20.2 - 22.9],(0.619 - 0.693],(0.119 - 0.164],False
(754.0 - 795.8],(407.6 - 426.0],(0.507 - 0.602],(56.068 - 62.054],(1.424 - 1.455],(22.9 - 26.954],(0.693 - 0.718],(0.079 - 0.092],True
(849.0 - 910.4],(239.0 - 376.0],(0.311 - 0.442],(67.28 - 72.914],(1.255 - 1.38],(22.9 - 26.954],(0.771 - 0.859],(0.026 - 0.079],True
(849.0 - 910.4],(239.0 - 376.0],(0.311 - 0.442],(67.28 - 72.914],(1.424 - 1.455],(17.062 - 20.2],(0.743 - 0.771],(0.092 - 0.105],True
(795.8 - 849.0],(407.6 - 426.0],(0.507 - 0.602],(72.914 - 85.59],(1.424 - 1.455],(10.784 - 17.062],(0.718 - 0.743],(0.105 - 0.119],True
(795.8 - 849.0],(376.0 - 407.6],(0.46 - 0.484],(62.054 - 67.28],(1.498 - 1.662],(10.784 - 17.062],(0.693 - 0.718],(0.119 - 0.164],True
(795.8 - 849.0],(407.6 - 426.0],(0.484 - 0.507],(62.054 - 67.28],(1.38 - 1.424],(20.2 - 22.9],(0.718 - 0.743],(0.079 - 0.092],True
(795.8 - 849.0],(239.0 - 376.0],(0.442 - 0.46],(56.068 - 62.054],(1.255 - 1.38],(26.954 - 50.125],(0.771 - 0.859],(0.026 - 0.079],True
(754.0 - 795.8],(239.0 - 376.0],(0.442 - 0.46],(56.068 - 62.054],(1.38 - 1.424],(26.954 - 50.125],(0.743 - 0.771],(0.079 - 0.092],True
(754.0 - 795.8],(376.0 - 407.6],(0.484 - 0.507],(72.914 - 85.59],(1.255 - 1.38],(17.062 - 20.2],(0.771 - 0.859],(0.026 - 0.079],True
(795.8 - 849.0],(376.0 - 407.6],(0.484 - 0.507],(67.28 - 72.914],(1.455 - 1.498],(10.784 - 17.062],(0.718 - 0.743],(0.119 - 0.164],True
(969.0 - 2271.0],(458.0 - 964.0],(0.442 - 0.46],(27.46 - 56.068],(1.498 - 1.662],(26.954 - 50.125],(0.619 - 0.693],(0.119 - 0.164],True
(795.8 - 849.0],(407.6 - 426.0],(0.484 - 0.507],(56.068 - 62.054],(1.498 - 1.662],(22.9 - 26.954],(0.619 - 0.693],(0.105 - 0.119],True
(849.0 - 910.4],(239.0 - 376.0],(0.311 - 0.442],(62.054 - 67.28],(1.424 - 1.455],(22.9 - 26.954],(0.743 - 0.771],(0.105 - 0.119],True
(969.0 - 2271.0],(458.0 - 964.0],(0.46 - 0.484],(27.46 - 56.068],(1.455 - 1.498],(22.9 - 26.954],(0.619 - 0.693],(0.105 - 0.119],True
(754.0 - 795.8],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(426.0 - 458.0],(0.442 - 0.46],(67.28 - 72.914],(1.38 - 1.424],(10.784 - 17.062],(0.718 - 0.743],(0.079 - 0.092],True
(795.8 - 849.0],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(849.0 - 910.4],(239.0 - 376.0],(0.311 - 0.442],(27.46 - 56.068],(1.424 - 1.455],(26.954 - 50.125],(0.771 - 0.859],(0.105 - 0.119],True
(795.8 - 849.0],(376.0 - 407.6],(0.46 - 0.484],(67.28 - 72.914],(1.38 - 1.424],(10.784 - 17.062],(0.718 - 0.743],(0.092 - 0.105],True
(795.8 - 849.0],(407.6 - 426.0],(0.484 - 0.507],(27.46 - 56.068],(1.424 - 1.455],(26.954 - 50.125],(0.718 - 0.743],(0.105 - 0.119],True
(849.0 - 910.4],(426.0 - 458.0],(0.507 - 0.602],(56.068 - 62.054],(1.498 - 1.662],(20.2 - 22.9],(0.619 - 0.693],(0.105 - 0.119],True
(795.8 - 849.0],(239.0 - 376.0],(0.442 - 0.46],(67.28 - 72.914],(1.255 - 1.38],(22.9 - 26.954],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(426.0 - 458.0],(0.442 - 0.46],(56.068 - 62.054],(1.255 - 1.38],(20.2 - 22.9],(0.619 - 0.693],(0.079 - 0.092],True
(849.0 - 910.4],(407.6 - 426.0],(0.46 - 0.484],(56.068 - 62.054],(1.424 - 1.455],(26.954 - 50.125],(0.718 - 0.743],(0.092 - 0.105],True
(910.4 - 969.0],(426.0 - 458.0],(0.46 - 0.484],(62.054 - 67.28],(1.424 - 1.455],(22.9 - 26.954],(0.693 - 0.718],(0.105 - 0.119],True
(849.0 - 910.4],(407.6 - 426.0],(0.442 - 0.46],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(849.0 - 910.4],(407.6 - 426.0],(0.46 - 0.484],(67.28 - 72.914],(1.424 - 1.455],(17.062 - 20.2],(0.743 - 0.771],(0.079 - 0.092],True
(910.4 - 969.0],(407.6 - 426.0],(0.442 - 0.46],(62.054 - 67.28],(1.38 - 1.424],(20.2 - 22.9],(0.743 - 0.771],(0.092 - 0.105],True
(910.4 - 969.0],(458.0 - 964.0],(0.507 - 0.602],(27.46 - 56.068],(1.498 - 1.662],(26.954 - 50.125],(0.619 - 0.693],(0.119 - 0.164],True
(910.4 - 969.0],(458.0 - 964.0],(0.46 - 0.484],(72.914 - 85.59],(1.424 - 1.455],(10.784 - 17.062],(0.693 - 0.718],(0.092 - 0.105],True
(849.0 - 910.4],(458.0 - 964.0],(0.507 - 0.602],(56.068 - 62.054],(1.455 - 1.498],(20.2 - 22.9],(0.693 - 0.718],(0.105 - 0.119],True
(910.4 - 969.0],(407.6 - 426.0],(0.442 - 0.46],(62.054 - 67.28],(1.455 - 1.498],(10.784 - 17.062],(0.693 - 0.718],(0.105 - 0.119],True
(849.0 - 910.4],(407.6 - 426.0],(0.46 - 0.484],(56.068 - 62.054],(1.424 - 1.455],(26.954 - 50.125],(0.718 - 0.743],(0.105 - 0.119],True
(795.8 - 849.0],(426.0 - 458.0],(0.507 - 0.602],(62.054 - 67.28],(1.455 - 1.498],(22.9 - 26.954],(0.693 - 0.718],(0.092 - 0.105],True
(754.0 - 795.8],(239.0 - 376.0],(0.442 - 0.46],(27.46 - 56.068],(1.498 - 1.662],(26.954 - 50.125],(0.718 - 0.743],(0.119 - 0.164],True
(910.4 - 969.0],(239.0 - 376.0],(0.311 - 0.442],(62.054 - 67.28],(1.38 - 1.424],(22.9 - 26.954],(0.771 - 0.859],(0.092 - 0.105],True
(849.0 - 910.4],(376.0 - 407.6],(0.46 - 0.484],(72.914 - 85.59],(1.424 - 1.455],(10.784 - 17.062],(0.743 - 0.771],(0.092 - 0.105],True
(754.0 - 795.8],(407.6 - 426.0],(0.507 - 0.602],(27.46 - 56.068],(1.498 - 1.662],(26.954 - 50.125],(0.693 - 0.718],(0.119 - 0.164],True
(969.0 - 2271.0],(458.0 - 964.0],(0.484 - 0.507],(62.054 - 67.28],(1.455 - 1.498],(10.784 - 17.062],(0.619 - 0.693],(0.105 - 0.119],False
(795.8 - 849.0],(376.0 - 407.6],(0.46 - 0.484],(62.054 - 67.28],(1.424 - 1.455],(22.9 - 26.954],(0.743 - 0.771],(0.105 - 0.119],True
(849.0 - 910.4],(376.0 - 407.6],(0.311 - 0.442],(62.054 - 67.28],(1.424 - 1.455],(20.2 - 22.9],(0.743 - 0.771],(0.092 - 0.105],True
(754.0 - 795.8],(239.0 - 376.0],(0.484 - 0.507],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(910.4 - 969.0],(458.0 - 964.0],(0.507 - 0.602],(56.068 - 62.054],(1.424 - 1.455],(26.954 - 50.125],(0.693 - 0.718],(0.079 - 0.092],False
(849.0 - 910.4],(376.0 - 407.6],(0.442 - 0.46],(62.054 - 67.28],(1.455 - 1.498],(10.784 - 17.062],(0.693 - 0.718],(0.105 - 0.119],True
(910.4 - 969.0],(407.6 - 426.0],(0.442 - 0.46],(27.46 - 56.068],(1.498 - 1.662],(22.9 - 26.954],(0.693 - 0.718],(0.119 - 0.164],True
(754.0 - 795.8],(376.0 - 407.6],(0.46 - 0.484],(56.068 - 62.054],(1.498 - 1.662],(17.062 - 20.2],(0.619 - 0.693],(0.119 - 0.164],True
(795.8 - 849.0],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(426.0 - 458.0],(0.311 - 0.442],(62.054 - 67.28],(1.255 - 1.38],(22.9 - 26.954],(0.743 - 0.771],(0.026 - 0.079],True
(910.4 - 969.0],(407.6 - 426.0],(0.442 - 0.46],(27.46 - 56.068],(1.38 - 1.424],(26.954 - 50.125],(0.718 - 0.743],(0.079 - 0.092],True
(849.0 - 910.4],(426.0 - 458.0],(0.484 - 0.507],(62.054 - 67.28],(1.455 - 1.498],(20.2 - 22.9],(0.718 - 0.743],(0.092 - 0.105],True
(795.8 - 849.0],(426.0 - 458.0],(0.507 - 0.602],(56.068 - 62.054],(1.455 - 1.498],(22.9 - 26.954],(0.743 - 0.771],(0.092 - 0.105],True
(795.8 - 849.0],(376.0 - 407.6],(0.442 - 0.46],(72.914 - 85.59],(1.255 - 1.38],(17.062 - 20.2],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(458.0 - 964.0],(0.46 - 0.484],(56.068 - 62.054],(1.455 - 1.498],(20.2 - 22.9],(0.619 - 0.693],(0.119 - 0.164],True
(849.0 - 910.4],(376.0 - 407.6],(0.442 - 0.46],(56.068 - 62.054],(1.255 - 1.38],(26.954 - 50.125],(0.743 - 0.771],(0.079 - 0.092],False
(754.0 - 795.8],(239.0 - 376.0],(0.484 - 0.507],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(795.8 - 849.0],(458.0 - 964.0],(0.507 - 0.602],(67.28 - 72.914],(1.455 - 1.498],(20.2 - 22.9],(0.693 - 0.718],(0.092 - 0.105],True
(849.0 - 910.4],(426.0 - 458.0],(0.507 - 0.602],(27.46 - 56.068],(1.38 - 1.424],(26.954 - 50.125],(0.771 - 0.859],(0.079 - 0.092],False
(754.0 - 795.8],(239.0 - 376.0],(0.442 - 0.46],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(910.4 - 969.0],(407.6 - 426.0],(0.311 - 0.442],(56.068 - 62.054],(1.38 - 1.424],(26.954 - 50.125],(0.771 - 0.859],(0.079 - 0.092],True
(795.8 - 849.0],(407.6 - 426.0],(0.484 - 0.507],(27.46 - 56.068],(1.455 - 1.498],(26.954 - 50.125],(0.718 - 0.743],(0.092 - 0.105],True
(910.4 - 969.0],(426.0 - 458.0],(0.46 - 0.484],(56.068 - 62.054],(1.498 - 1.662],(17.062 - 20.2],(0.693 - 0.718],(0.105 - 0.119],True
(754.0 - 795.8],(376.0 - 407.6],(0.484 - 0.507],(56.068 - 62.054],(1.455 - 1.498],(20.2 - 22.9],(0.693 - 0.718],(0.119 - 0.164],True
(969.0 - 2271.0],(458.0 - 964.0],(0.442 - 0.46],(56.068 - 62.054],(1.424 - 1.455],(17.062 - 20.2],(0.619 - 0.693],(0.105 - 0.119],True
(969.0 - 2271.0],(458.0 - 964.0],(0.484 - 0.507],(27.46 - 56.068],(1.498 - 1.662],(26.954 - 50.125],(0.619 - 0.693],(0.119 - 0.164],True
(754.0 - 795.8],(239.0 - 376.0],(0.442 - 0.46],(72.914 - 85.59],(1.255 - 1.38],(20.2 - 22.9],(0.771 - 0.859],(0.026 - 0.079],True
(910.4 - 969.0],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(17.062 - 20.2],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(458.0 - 964.0],(0.507 - 0.602],(27.46 - 56.068],(1.498 - 1.662],(22.9 - 26.954],(0.619 - 0.693],(0.119 - 0.164],True
(795.8 - 849.0],(376.0 - 407.6],(0.484 - 0.507],(62.054 - 67.28],(1.455 - 1.498],(10.784 - 17.062],(0.619 - 0.693],(0.105 - 0.119],True
(754.0 - 795.8],(407.6 - 426.0],(0.507 - 0.602],(27.46 - 56.068],(1.455 - 1.498],(26.954 - 50.125],(0.619 - 0.693],(0.105 - 0.119],True
(795.8 - 849.0],(376.0 - 407.6],(0.484 - 0.507],(27.46 - 56.068],(1.38 - 1.424],(26.954 - 50.125],(0.718 - 0.743],(0.026 - 0.079],True
(849.0 - 910.4],(426.0 - 458.0],(0.484 - 0.507],(62.054 - 67.28],(1.424 - 1.455],(20.2 - 22.9],(0.718 - 0.743],(0.092 - 0.105],True
(754.0 - 795.8],(239.0 - 376.0],(0.442 - 0.46],(67.28 - 72.914],(1.255 - 1.38],(17.062 - 20.2],(0.743 - 0.771],(0.092 - 0.105],True
(910.4 - 969.0],(407.6 - 426.0],(0.311 - 0.442],(62.054 - 67.28],(1.455 - 1.498],(22.9 - 26.954],(0.718 - 0.743],(0.092 - 0.105],True
(754.0 - 795.8],(407.6 - 426.0],(0.507 - 0.602],(72.914 - 85.59],(1.455 - 1.498],(10.784 - 17.062],(0.743 - 0.771],(0.079 - 0.092],True
(849.0 - 910.4],(239.0 - 376.0],(0.311 - 0.442],(72.914 - 85.59],(1.255 - 1.38],(10.784 - 17.062],(0.771 - 0.859],(0.026 - 0.079],True
(969.0 - 2271.0],(458.0 - 964.0],(0.484 - 0.507],(62.054 - 67.28],(1.38 - 1.424],(20.2 - 22.9],(0.693 - 0.718],(0.079 - 0.092],True
(754.0 - 795.8],(239.0 - 376.0],(0.46 - 0.484],(67.28 - 72.914],(1.255 - 1.38],(10.784 - 17.062],(0.718 - 0.743],(0.079 - 0.092],True
